block_number,tx_hash,log_index,amount0_IXS,amount1_WETH
23982280,fd870a70daae144d12a66b019fbae6a36137c8289699e906f5a47236de61046f,101,1257455.591596529,70.27200023505871
23982726,44127db0abf4ec51842b4b20ef957d58f20e30f8c15ace282b278637364b7bed,133,1256604.8026669086,70.32494746668148
