block_number,tx_hash,log_index,amount0_in_IXS,amount1_in_WETH,amount0_out_IXS,amount1_out_WETH,abs_WETH
23982139,5b368f1e08a9faeda3776de139bb4e7ac79aab5c687e0507ce4c2369d6911bd4,11,576.6540997474664,0.0,0.0,0.03223216363950822,0.03223216363950822
23982140,6378143d06ec24fdd7581d1e5bcfbdf16615ebc53a86930cde184c85e4954c00,88,5000.0,0.0,0.0,0.2790707968850012,0.2790707968850012
23982145,88a330007d2d24bf920c20d1bc9821f15bb79a31c6d5fa1e29ed53f9a2a5d31f,200,0.0,0.03066406180910065,546.7386834303261,0.0,0.03066406180910065
23982273,eb3c4ac3f5f7e829ab698d11e44a93411e0fe5d23ceef519582826070ce97ad2,849,1405.0,0.0,0.0,0.07831051725862292,0.07831051725862292
23982353,663297836e52ba7b7c5f59cd2c243da86d7b53c19917dcbe029479daebf65d8a,98,10362.055157967803,0.0,0.0,0.5750380081967064,0.5750380081967064
23982382,ddbfe0e53460006d9ae0cc7aa9c1f1186c138b25a3ecaeea48872d8106273809,106,6580.0,0.0,0.0,0.3627768428744623,0.3627768428744623
23982471,db77746a500ebe6f0d2eea126899db72e5299057a1455fa5a6919cbf278f10a3,324,9998.226411956068,0.0,0.0,0.5477384284068674,0.5477384284068674
23982485,c20a437ef52a6f56698a61e16c3e4d6a4e161041edb16b07d8788ac2a4797253,1170,0.0,0.001633007743533056,29.743417332267892,0.0,0.001633007743533056
23982523,972b55cf32462915ce72feae7f1c3bbd60ec4a76587586b1ad07775a50a980de,25,0.0,0.07184398813442867,1307.8872715599218,0.0,0.07184398813442867
23982523,70ee53fb74ef7f716290006565c492347070b3b15562cca094e6566580536d3a,36,0.0,1.111696133543312,20072.049776442345,0.0,1.111696133543312
23982523,12aba29eeace18f4ab4ba08eee4ddf82956766a53aaebb61e69997f976532a20,43,1307.8869900849452,0.0,0.0,0.07252738185573171,0.07252738185573171
23982531,89b3c44af21ba71aaf41352152321849820151dadce8eb5fd09af9b58991dbd8,79,0.0,0.07227560166214861,1295.5442419874387,0.0,0.07227560166214861
23982531,6f2c4ddc68f5f30b15fea5b669656fb8dd45e472a77d8d8d736d28f9e465b77f,84,0.0,0.6271996331930204,11188.361243394469,0.0,0.6271996331930204
23982531,78beef3510101778b7b22af6689b48a2c6281fd76f7fc7b644b6bee7784fd87c,88,1295.5442408879271,0.0,0.0,0.07246890525523968,0.07246890525523968
23982531,78beef3510101778b7b22af6689b48a2c6281fd76f7fc7b644b6bee7784fd87c,94,2602.8587192781465,0.0,0.0,0.14537667580526592,0.14537667580526592
23982739,c6c932bdd70e696bb725790ce4464bddcd1bb514d557f5050083c877d81327dc,283,800.0,0.0,0.0,0.04461020740890007,0.04461020740890007
23982810,98b78217365184c97141b6f9aff813a55838a00733b21b7473f51491e6487d01,340,0.0,0.000482278828946659,8.602086974324472,0.0,0.000482278828946659
23982882,b40e31fc052e031a3e8399414ac9a7128a62314adb8b2ef81c2001e3a6826f89,390,2190.0,0.0,0.0,0.12184740644077818,0.12184740644077818
23983016,6167dac8fcaddd1d4f58ebe1df5c6058f2f40cab48b99b43baf41d43e3900872,161,0.0,0.08411640584572885,1503.5707409798174,0.0,0.08411640584572885
23983141,1c29c3525cce0066b0f1d4c56e3f688775366e4545f64f84c9faad3a8662910b,301,0.0,0.21145323322384033,3764.679502908694,0.0,0.21145323322384033
23983153,7d73637152e53fc5e1e08a84460176321cdc97ac103d544ca252655a0ec962e0,187,5888.69074843,0.0,0.0,0.3282534879952586,0.3282534879952586
23983333,51cce47d9ec75a602c912e36686655ec9a459c3a59b585fc7d0c409eb62ccfc9,3,0.0,0.8608819422775215,15242.568609774218,0.0,0.8608819422775215
23983333,ca9b76c601b8b937c483017c2367c4b3074166c3f5aa202f41bbf0ebaf289d3e,27,0.0,0.3755772761966241,6540.521425513235,0.0,0.3755772761966241
23983333,bff0a51e23605b17ee124ebdcb7cf57668cb0f9a1c5ae4551f4ca20eb9f33bf6,32,15242.568328299241,0.0,0.0,0.8643429171189514,0.8643429171189514
23983385,7200065b1aa6c9e072bbcd3bd89088474d77709629e2c8523f982fb66a132b64,292,5878.375406104812,0.0,0.0,0.3280357964220149,0.3280357964220149
23983519,eb3d2b539b87d755d96e5092496f458ba38e37dc7096a10d1a8876d8f294473d,373,0.0,0.001774726619212035,31.75236592369267,0.0,0.001774726619212035
23983546,746479f8fa786dc4df3cb58d742678659660a6ac7c5b73d8f376070f3747ef6e,260,0.0,0.2956884540015057,5269.14536904371,0.0,0.2956884540015057
23983780,6d581d65ee02122e4a61dcb45e2799806a6409111859e022002234d2d46a4150,153,0.0,0.07318644969547598,1297.7056144062597,0.0,0.07318644969547598
23983805,14fa357ba55a04d81da7f7552c2a996d6bb1f156c11ed687dfa198b399b2745a,853,2187.0,0.0,0.0,0.1225193952891859,0.1225193952891859
23983830,202754736b40d0f462bba57fc98d771feddbfab3c22412e8c1a2ff26c9b87b0d,229,2047.3177091211928,0.0,0.0,0.11432796403687934,0.11432796403687934
23983840,45d26b6863b5ce1fb96e742328faffc03e27ee6d04b1c050696f6d4b221b3408,479,31.75236592369267,0.0,0.0,0.001770357633921788,0.001770357633921788
23983874,7150fa1a5dc1ac2e41f4ed8a40cb9ccb6787a22c0fa657415f6e4d5f3d3843f9,9,4930.480531,0.0,0.0,0.2738764554597518,0.2738764554597518
23983958,a7d305414b4966b2c44999c0d04d566e8eb8e8d78c2f8b7231ac357fcb99abf3,198,0.0,0.16830166970210148,3016.0646477534615,0.0,0.16830166970210148
23984069,764c3678e9b7d79889ca6c2fa5e1d59cee1b1cfbc542ebcf5aef871b72e0b70a,37,35.6,0.0,0.0,0.001979091925488154,0.001979091925488154
