period,block_number,timestamp,datetime_utc,direction,usd_notional_in,eth_usd,ixs_usd,amount_in,amount_in_unit,amount_out,amount_out_unit,spot_price,spot_price_unit,avg_exec_price,avg_exec_price_unit,gross_slippage_pct,slippage_excl_fees_pct_raw,fee_rate
UniV2 pre,23588325,1760594639,2025-10-16 06:03:59+00:00,IXS->ETH,50000.0,4000.579180941948,0.205805837968551,242947.43284998773,IXS,11.739043041901605,ETH,5.144401064450208e-05,ETH_per_IXS,4.831927180374895e-05,ETH_per_IXS,6.074057604774016,5.774057604774016,0.003
UniV2 pre,23588925,1760601935,2025-10-16 08:05:35+00:00,ETH->IXS,1000.0,3998.0147810343374,0.19984518752840122,0.25012413779553044,ETH,4982.643113833345,IXS,20005.55945569695,IXS_per_ETH,19920.680817724668,IXS_per_ETH,0.4242752528878318,0.12427525288783181,0.003
UniV2 pre,23588925,1760601935,2025-10-16 08:05:35+00:00,ETH->IXS,5000.0,3998.0147810343374,0.19984518752840122,1.250620688977652,ETH,24789.615339864667,IXS,20005.55945569695,IXS_per_ETH,19821.849708986898,IXS_per_ETH,0.9182934729562875,0.6182934729562876,0.003
UniV2 pre,23588925,1760601935,2025-10-16 08:05:35+00:00,ETH->IXS,10000.0,3998.0147810343374,0.19984518752840122,2.501241377955304,ETH,49273.65814991218,IXS,20005.55945569695,IXS_per_ETH,19699.681359898193,IXS_per_ETH,1.5289654682046552,1.2289654682046551,0.003
UniV2 pre,23588925,1760601935,2025-10-16 08:05:35+00:00,ETH->IXS,50000.0,3998.0147810343374,0.19984518752840122,12.506206889776522,ETH,234791.53302385763,IXS,20005.55945569695,IXS_per_ETH,18774.00038982189,IXS_per_ETH,6.156084105532729,5.856084105532729,0.003
UniV2 pre,23588925,1760601935,2025-10-16 08:05:35+00:00,IXS->ETH,1000.0,3998.0147810343374,0.19984518752840122,5003.873309973421,IXS,0.24906292297736493,ETH,4.9986105223127444e-05,ETH_per_IXS,4.977402654878324e-05,ETH_per_IXS,0.42427525288783186,0.12427525288783185,0.003
UniV2 pre,23588925,1760601935,2025-10-16 08:05:35+00:00,IXS->ETH,5000.0,3998.0147810343374,0.19984518752840122,25019.366549867103,IXS,1.2391363208193293,ETH,4.9986105223127444e-05,ETH_per_IXS,4.952708608147841e-05,ETH_per_IXS,0.9182934729562875,0.6182934729562876,0.003
UniV2 pre,23588925,1760601935,2025-10-16 08:05:35+00:00,IXS->ETH,10000.0,3998.0147810343374,0.19984518752840122,50038.73309973421,IXS,2.4629982610099215,ETH,4.9986105223127444e-05,ETH_per_IXS,4.922183493536538e-05,ETH_per_IXS,1.5289654682046552,1.2289654682046551,0.003
UniV2 pre,23588925,1760601935,2025-10-16 08:05:35+00:00,IXS->ETH,50000.0,3998.0147810343374,0.19984518752840122,250193.66549867103,IXS,11.736314275229951,ETH,4.9986105223127444e-05,ETH_per_IXS,4.690891854451163e-05,ETH_per_IXS,6.156084105532729,5.856084105532729,0.003
UniV2 pre,23589525,1760609243,2025-10-16 10:07:23+00:00,ETH->IXS,1000.0,4043.012838238577,0.1926727683817266,0.2473402979436669,ETH,5168.044819613397,IXS,20983.831146436278,IXS_per_ETH,20894.471554289332,IXS_per_ETH,0.4258497484246129,0.12584974842461286,0.003
UniV2 pre,23589525,1760609243,2025-10-16 10:07:23+00:00,ETH->IXS,5000.0,4043.012838238577,0.1926727683817266,1.2367014897183346,ETH,25710.408713174424,IXS,20983.831146436278,IXS_per_ETH,20789.502500745035,IXS_per_ETH,0.926087540140378,0.6260875401403779,0.003
UniV2 pre,23589525,1760609243,2025-10-16 10:07:23+00:00,ETH->IXS,10000.0,4043.012838238577,0.1926727683817266,2.473402979436669,ETH,51099.92448729559,IXS,20983.831146436278,IXS_per_ETH,20659.76507351579,IXS_per_ETH,1.5443608493557794,1.2443608493557794,0.003
UniV2 pre,23589525,1760609243,2025-10-16 10:07:23+00:00,ETH->IXS,50000.0,4043.012838238577,0.1926727683817266,12.367014897183346,ETH,243350.53981213243,IXS,20983.831146436278,IXS_per_ETH,19677.387133054784,IXS_per_ETH,6.225955614417752,5.925955614417752,0.003
UniV2 pre,23589525,1760609243,2025-10-16 10:07:23+00:00,IXS->ETH,1000.0,4043.012838238577,0.1926727683817266,5190.1470477591465,IXS,0.2462869999071211,ETH,4.7655739937167375e-05,ETH_per_IXS,4.7452798088535064e-05,ETH_per_IXS,0.42584974842461315,0.12584974842461316,0.003
UniV2 pre,23589525,1760609243,2025-10-16 10:07:23+00:00,IXS->ETH,5000.0,4043.012838238577,0.1926727683817266,25950.735238795733,IXS,1.2252485513133227,ETH,4.7655739937167375e-05,ETH_per_IXS,4.721440606744757e-05,ETH_per_IXS,0.9260875401403779,0.6260875401403779,0.003
UniV2 pre,23589525,1760609243,2025-10-16 10:07:23+00:00,IXS->ETH,10000.0,4043.012838238577,0.1926727683817266,51901.470477591465,IXS,2.43520471217545,ETH,4.7655739937167375e-05,ETH_per_IXS,4.6919763347106956e-05,ETH_per_IXS,1.5443608493557794,1.2443608493557794,0.003
UniV2 pre,23589525,1760609243,2025-10-16 10:07:23+00:00,IXS->ETH,50000.0,4043.012838238577,0.1926727683817266,259507.3523879573,IXS,11.59705003885628,ETH,4.7655739937167375e-05,ETH_per_IXS,4.468871472095698e-05,ETH_per_IXS,6.225955614417752,5.925955614417752,0.003
UniV2 pre,23590125,1760616491,2025-10-16 12:08:11+00:00,ETH->IXS,1000.0,4067.1325135141037,0.19251081150790544,0.2458734739222881,ETH,5172.409355176245,IXS,21126.774551813094,IXS_per_ETH,21036.874261641828,IXS_per_ETH,0.42552775839391555,0.12552775839391556,0.003
UniV2 pre,23590125,1760616491,2025-10-16 12:08:11+00:00,ETH->IXS,5000.0,4067.1325135141037,0.19251081150790544,1.2293673696114404,ETH,25732.452509821615,IXS,21126.774551813094,IXS_per_ETH,20931.45885103062,IXS_per_ETH,0.9244937049120548,0.6244937049120548,0.003
UniV2 pre,23590125,1760616491,2025-10-16 12:08:11+00:00,ETH->IXS,10000.0,4067.1325135141037,0.19251081150790544,2.458734739222881,ETH,51144.54946117715,IXS,21126.774551813094,IXS_per_ETH,20801.16600025838,IXS_per_ETH,1.5412127902257913,1.2412127902257912,0.003
UniV2 pre,23590125,1760616491,2025-10-16 12:08:11+00:00,ETH->IXS,50000.0,4067.1325135141037,0.19251081150790544,12.293673696114404,ETH,243592.35811841002,IXS,21126.774551813094,IXS_per_ETH,19814.447994939135,IXS_per_ETH,6.21167492300113,5.911674923001129,0.003
UniV2 pre,23590125,1760616491,2025-10-16 12:08:11+00:00,IXS->ETH,1000.0,4067.1325135141037,0.19251081150790544,5194.513451827276,IXS,0.2448272140402213,ETH,4.733330199304751e-05,ETH_per_IXS,4.713188565410267e-05,ETH_per_IXS,0.4255277583939155,0.12552775839391547,0.003
